,Accident Date,Time (24hr),Road Surface,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
0,2014-01-01,14:15:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,28
1,2014-01-01,00:05:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,29
2,2014-01-01,02:20:00,Dry,Fine without high winds,Car,Driver,Slight,Female,21
3,2014-01-01,01:30:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Serious,Female,34
4,2014-01-01,14:15:00,Dry,Fine without high winds,Car,Driver,Slight,Male,34
5,2014-01-01,15:45:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,34
6,2014-01-01,15:37:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Female,29
7,2014-01-01,18:30:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,24
8,2014-01-01,11:55:00,Wet/Damp,Raining with high winds,Car,Passenger,Slight,Male,15
9,2014-01-01,12:40:00,Dry,Fine without high winds,Car,Driver,Serious,Male,26
10,2014-01-01,00:05:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,32
11,2014-01-01,18:40:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,58
12,2014-01-01,08:30:00,Dry,Fine without high winds,Car,Driver,Slight,Female,34
13,2014-01-01,16:20:00,Dry,Fine without high winds,Car,Pedestrian,Serious,Male,16
14,2014-01-01,12:25:00,Wet/Damp,Fine without high winds,Motorcycle,Driver,Slight,Male,29
15,2014-01-02,12:20:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Male,12
16,2014-01-02,14:15:00,Wet/Damp,Fine without high winds,Car,Passenger,Slight,Female,27
17,2014-01-02,15:30:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Female,20
18,2014-01-03,09:40:00,Dry,Fine without high winds,Car,Driver,Slight,Female,37
19,2014-01-03,10:05:00,Dry,Fine without high winds,Car,Driver,Slight,Male,65
20,2014-01-03,10:05:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,49
21,2014-01-03,10:25:00,Dry,Fine without high winds,Bus,Passenger,Slight,Female,27
22,2014-01-03,19:10:00,Dry,Fine without high winds,Car,Pedestrian,Serious,Female,27
23,2014-01-04,18:54:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,44
24,2014-01-04,09:35:00,Wet/Damp,Fine without high winds,Car,Driver,Serious,Male,37
25,2014-01-05,21:25:00,Wet/Damp,Raining with high winds,Car,Driver,Slight,Female,22
26,2014-01-06,16:10:00,Wet/Damp,Fine without high winds,Pedal cycle,Driver,Slight,Female,21
27,2014-01-07,02:40:00,Wet/Damp,Fine with high winds,Goods vehicle,Driver,Serious,Male,60
28,2014-01-07,22:45:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Serious,Male,26
29,2014-01-07,02:40:00,Wet/Damp,Fine with high winds,Goods vehicle,Passenger,Slight,Male,61
30,2014-01-07,07:45:00,Wet/Damp,Fine without high winds,Motorcycle,Driver,Slight,Male,54
31,2014-01-07,17:15:00,Dry,Fine without high winds,Car,Driver,Slight,Female,46
32,2014-01-07,17:15:00,Dry,Fine without high winds,Car,Driver,Slight,Male,46
33,2014-01-07,17:15:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,39
34,2014-01-07,02:40:00,Wet/Damp,Fine with high winds,Goods vehicle,Driver,Serious,Male,41
35,2014-01-08,13:20:00,Dry,Fine without high winds,Car,Pedestrian,Serious,Female,74
36,2014-01-08,14:30:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,69
37,2014-01-08,14:30:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Female,41
38,2014-01-08,07:14:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,45
39,2014-01-08,16:06:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Male,14
40,2014-01-08,09:05:00,Dry,Fine without high winds,Car,Driver,Slight,Female,25
41,2014-01-08,20:18:00,Wet/Damp,Raining without high winds,Car,Pedestrian,Slight,Female,33
42,2014-01-08,20:18:00,Wet/Damp,Raining without high winds,Car,Pedestrian,Slight,Male,37
43,2014-01-08,18:25:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,28
44,2014-01-09,12:45:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,64
45,2014-01-09,12:45:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Female,37
46,2014-01-09,07:05:00,Dry,Fine without high winds,Car,Driver,Slight,Male,42
47,2014-01-09,08:20:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,32
48,2014-01-09,08:20:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,33
49,2014-01-09,08:00:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,16
50,2014-01-10,09:10:00,Wet/Damp,Fine without high winds,Motorcycle,Driver,Slight,Male,17
51,2014-01-10,08:17:00,Dry,Fine without high winds,Car,Driver,Slight,Male,35
52,2014-01-10,17:10:00,Wet/Damp,Fine without high winds,Car,Passenger,Slight,Female,29
53,2014-01-10,08:17:00,Dry,Fine without high winds,Car,Driver,Slight,Male,25
54,2014-01-10,12:20:00,Dry,Fine without high winds,Car,Driver,Slight,Male,20
55,2014-01-11,21:30:00,Frost/Ice,Fine without high winds,Car,Passenger,Slight,Male,45
56,2014-01-11,21:30:00,Frost/Ice,Fine without high winds,Car,Passenger,Slight,Female,39
57,2014-01-11,11:05:00,Wet/Damp,Fine without high winds,Pedal cycle,Driver,Slight,Male,32
58,2014-01-12,16:00:00,Dry,Other,Car,Driver,Slight,Male,40
59,2014-01-12,16:00:00,Dry,Other,Car,Passenger,Slight,Female,36
60,2014-01-12,14:30:00,Dry,Fine without high winds,Car,Driver,Slight,Male,31
61,2014-01-13,11:39:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,48
62,2014-01-13,11:39:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Slight,Female,47
63,2014-01-13,10:25:00,Wet/Damp,Fine without high winds,Pedal cycle,Driver,Slight,Male,47
64,2014-01-13,15:15:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,33
65,2014-01-13,09:10:00,Wet/Damp,Raining without high winds,Bus,Passenger,Slight,Female,34
66,2014-01-14,18:00:00,Dry,Fine without high winds,Motorcycle,Driver,Serious,Male,22
67,2014-01-14,09:24:00,Dry,Fine without high winds,Goods vehicle,Pedestrian,Slight,Male,69
68,2014-01-14,15:40:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,13
69,2014-01-15,17:15:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Slight,Male,15
70,2014-01-15,21:35:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,34
71,2014-01-15,07:55:00,Wet/Damp,Fine without high winds,Pedal cycle,Driver,Slight,Male,23
72,2014-01-15,11:55:00,Dry,Fine without high winds,Goods vehicle,Passenger,Slight,Female,35
73,2014-01-15,02:25:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,24
74,2014-01-16,07:00:00,Wet/Damp,Fine without high winds,Motorcycle,Driver,Slight,Male,43
75,2014-01-16,15:41:00,Dry,Fine without high winds,Car,Driver,Slight,Female,27
76,2014-01-16,15:45:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Male,10
77,2014-01-16,16:15:00,Dry,Fine without high winds,Car,Driver,Slight,Male,69
78,2014-01-16,07:40:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,40
79,2014-01-17,17:00:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,22
80,2014-01-17,10:36:00,Dry,Fine without high winds,Car,Driver,Slight,Female,60
81,2014-01-17,10:36:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,77
82,2014-01-17,19:30:00,Wet/Damp,Raining without high winds,Pedal cycle,Driver,Serious,Male,33
83,2014-01-17,15:45:00,Dry,Fine without high winds,Car,Driver,Slight,Male,52
84,2014-01-18,12:38:00,Wet/Damp,Fine without high winds,Car,Driver,Serious,Female,94
85,2014-01-18,16:30:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,33
86,2014-01-18,16:30:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,35
87,2014-01-18,08:10:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,21
88,2014-01-18,16:30:00,Dry,Fine without high winds,Car,Driver,Slight,Female,35
89,2014-01-18,15:40:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Male,69
90,2014-01-18,14:15:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Serious,Female,65
91,2014-01-18,16:30:00,Dry,Fine without high winds,Car,Driver,Slight,Female,33
92,2014-01-19,14:10:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,23
93,2014-01-19,12:30:00,Wet/Damp,Fine without high winds,Bus,Passenger,Slight,Female,30
94,2014-01-19,13:00:00,Dry,Fine without high winds,Car,Driver,Slight,Male,29
95,2014-01-20,19:09:00,Dry,Fine without high winds,Car,Driver,Slight,Male,50
96,2014-01-20,16:52:00,Dry,Fine without high winds,Motorcycle,Driver,Slight,Male,40
97,2014-01-20,11:28:00,Wet/Damp,Fine without high winds,Pedal cycle,Driver,Slight,Male,22
98,2014-01-20,01:45:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,45
99,2014-01-21,07:30:00,Wet/Damp,Fine without high winds,Pedal cycle,Driver,Slight,Male,51
100,2014-01-21,09:45:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Slight,Male,79
101,2014-01-21,09:25:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,48
102,2014-01-21,11:20:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,28
103,2014-01-21,09:25:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,46
104,2014-01-22,18:10:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Female,35
105,2014-01-23,00:19:00,Wet/Damp,Fine without high winds,Motorcycle,Driver,Slight,Male,18
106,2014-01-23,13:12:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,48
107,2014-01-23,08:45:00,Wet/Damp,Raining without high winds,Pedal cycle,Driver,Slight,Male,9
108,2014-01-23,16:45:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,58
109,2014-01-23,15:30:00,Dry,Fine without high winds,Bus,Passenger,Slight,Female,80
110,2014-01-23,15:44:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,53
111,2014-01-23,15:44:00,Wet/Damp,Fine without high winds,Goods vehicle,Driver,Slight,Male,30
112,2014-01-23,16:25:00,Wet/Damp,Fine without high winds,Car,Passenger,Slight,Male,10
113,2014-01-23,17:30:00,Dry,Fine without high winds,Car,Pedestrian,Serious,Male,17
114,2014-01-24,19:55:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,49
115,2014-01-24,17:45:00,Wet/Damp,Raining without high winds,Pedal cycle,Driver,Slight,Male,19
116,2014-01-24,15:00:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,57
117,2014-01-24,15:40:00,Dry,Fine without high winds,Car,Driver,Slight,Female,22
118,2014-01-24,15:40:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,24
119,2014-01-24,14:15:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,25
120,2014-01-24,19:55:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Female,24
121,2014-01-24,14:46:00,Dry,Fine without high winds,Car,Driver,Slight,Male,59
122,2014-01-25,17:00:00,Dry,Fine without high winds,Motorcycle,Driver,Slight,Male,24
123,2014-01-26,13:00:00,Wet/Damp,Raining without high winds,Car,Pedestrian,Serious,Male,6
124,2014-01-26,17:55:00,Wet/Damp,Raining without high winds,Car,Pedestrian,Serious,Male,32
125,2014-01-26,20:05:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,49
126,2014-01-26,20:05:00,Wet/Damp,Raining without high winds,Car,Passenger,Slight,Female,7
127,2014-01-26,18:45:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Slight,Male,21
128,2014-01-27,19:15:00,Wet/Damp,Fine without high winds,Car,Passenger,Slight,Female,19
129,2014-01-27,15:50:00,Dry,Fine without high winds,Car,Driver,Slight,Male,46
130,2014-01-27,15:50:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,35
131,2014-01-27,08:13:00,Wet/Damp,Raining without high winds,Bus,Passenger,Slight,Male,4
132,2014-01-27,19:15:00,Wet/Damp,Fine without high winds,Car,Passenger,Slight,Female,33
133,2014-01-27,18:25:00,Dry,Fine without high winds,Car,Driver,Slight,Male,62
134,2014-01-28,06:55:00,Wet/Damp,Fine without high winds,Pedal cycle,Driver,Serious,Male,36
135,2014-01-28,08:13:00,Wet/Damp,Fine without high winds,Motorcycle,Driver,Slight,Male,38
136,2014-01-28,16:50:00,Wet/Damp,Fine without high winds,Pedal cycle,Driver,Slight,Male,47
137,2014-01-28,18:30:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,32
138,2014-01-28,18:28:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,38
139,2014-01-29,17:20:00,Dry,Fine without high winds,Car,Pedestrian,Serious,Male,70
140,2014-01-30,19:00:00,Frost/Ice,Fine without high winds,Car,Driver,Slight,Female,18
141,2014-01-31,15:06:00,Wet/Damp,Fine without high winds,Pedal cycle,Driver,Slight,Male,34
142,2014-01-31,15:00:00,Dry,Fine without high winds,Car,Driver,Slight,Female,34
143,2014-01-31,21:12:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Slight,Female,26
144,2014-02-01,15:15:00,Dry,Fine without high winds,Bus,Passenger,Slight,Male,81
145,2014-02-01,17:28:00,Wet/Damp,Other,Pedal cycle,Driver,Slight,Male,26
146,2014-02-01,17:40:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,53
147,2014-02-01,15:30:00,Dry,Fine without high winds,Goods vehicle,Pedestrian,Slight,Male,24
148,2014-02-01,00:35:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,50
149,2014-02-01,00:35:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,34
150,2014-02-01,10:15:00,Wet/Damp,Fine without high winds,Pedal cycle,Driver,Slight,Male,41
151,2014-02-02,01:25:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,28
152,2014-02-02,15:31:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,28
153,2014-02-02,07:20:00,Dry,Fine without high winds,Motorcycle,Driver,Serious,Male,64
154,2014-02-02,12:10:00,Dry,Fine without high winds,Motorcycle,Driver,Slight,Male,46
155,2014-02-02,01:25:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,45
156,2014-02-03,08:25:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,49
157,2014-02-03,19:50:00,Dry,Fine without high winds,Car,Driver,Slight,Male,28
158,2014-02-03,18:37:00,Dry,Fine without high winds,Bus,Passenger,Slight,Male,72
159,2014-02-03,19:50:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,31
160,2014-02-04,12:20:00,Dry,Fine without high winds,Car,Driver,Slight,Female,39
161,2014-02-04,10:50:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,44
162,2014-02-04,09:00:00,Dry,Fine without high winds,Car,Driver,Slight,Female,35
163,2014-02-04,12:35:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,25
164,2014-02-04,08:00:00,Wet/Damp,Fine without high winds,Motorcycle,Driver,Serious,Female,26
165,2014-02-04,10:20:00,Dry,Fine without high winds,Bus,Passenger,Slight,Female,78
166,2014-02-05,14:25:00,Wet/Damp,Raining without high winds,Car,Pedestrian,Slight,Male,17
167,2014-02-05,18:20:00,Dry,Fine without high winds,Car,Driver,Slight,Female,49
168,2014-02-05,18:20:00,Dry,Fine without high winds,Car,Driver,Slight,Male,38
169,2014-02-05,18:00:00,Wet/Damp,Raining without high winds,Pedal cycle,Driver,Serious,Male,19
170,2014-02-05,21:35:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,13
171,2014-02-05,21:35:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,10
172,2014-02-05,16:30:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Slight,Male,9
173,2014-02-06,21:10:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Female,26
174,2014-02-06,19:00:00,Wet/Damp,Raining without high winds,Car,Pedestrian,Slight,Male,32
175,2014-02-06,18:11:00,Wet/Damp,Raining without high winds,Pedal cycle,Driver,Slight,Male,30
176,2014-02-06,10:30:00,Dry,Fine without high winds,Goods vehicle,Pedestrian,Slight,Male,83
177,2014-02-06,08:40:00,Wet/Damp,Fine without high winds,Pedal cycle,Driver,Slight,Male,32
178,2014-02-06,15:25:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,16
179,2014-02-06,16:40:00,Dry,Fine without high winds,Bus,Passenger,Slight,Male,27
180,2014-02-07,23:50:00,Wet/Damp,Raining without high winds,Car,Pedestrian,Slight,Male,40
181,2014-02-07,18:45:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,25
182,2014-02-07,18:45:00,Dry,Fine without high winds,Car,Driver,Slight,Female,19
183,2014-02-07,08:24:00,Dry,Fine without high winds,Car,Driver,Slight,Female,23
184,2014-02-07,08:40:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,5
185,2014-02-07,08:40:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,6
186,2014-02-07,08:24:00,Dry,Fine without high winds,Car,Driver,Slight,Male,53
187,2014-02-07,18:45:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,22
188,2014-02-08,10:30:00,Wet/Damp,Fine with high winds,Car,Driver,Slight,Female,44
189,2014-02-08,16:10:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,36
190,2014-02-08,16:39:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,31
191,2014-02-08,16:39:00,Wet/Damp,Fine without high winds,Car,Passenger,Slight,Female,22
192,2014-02-08,14:15:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,19
193,2014-02-09,11:55:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,30
194,2014-02-09,00:10:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,36
195,2014-02-10,19:00:00,Dry,Fine without high winds,Motorcycle,Driver,Slight,Male,20
196,2014-02-10,17:45:00,Dry,Fine without high winds,Car,Driver,Slight,Male,24
197,2014-02-10,14:35:00,Dry,Fine without high winds,Bus,Passenger,Slight,Male,2
198,2014-02-10,17:45:00,Dry,Fine without high winds,Goods vehicle,Driver,Slight,Male,27
199,2014-02-10,13:20:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Male,30
200,2014-02-10,00:50:00,Dry,Fine without high winds,Car,Driver,Slight,Female,45
201,2014-02-10,07:15:00,Frost/Ice,Fine without high winds,Car,Driver,Slight,Female,26
202,2014-02-10,15:50:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Serious,Male,44
203,2014-02-11,19:00:00,Frost/Ice,Raining without high winds,Car,Passenger,Slight,Male,18
204,2014-02-11,22:00:00,Dry,Fine without high winds,Car,Driver,Slight,Male,31
205,2014-02-11,06:10:00,Wet/Damp,Raining without high winds,Motorcycle,Driver,Slight,Male,61
206,2014-02-12,09:20:00,Dry,Fine without high winds,Car,Driver,Slight,Male,30
207,2014-02-12,08:00:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Slight,Male,12
208,2014-02-12,17:57:00,Wet/Damp,Raining with high winds,Car,Pedestrian,Serious,Male,49
209,2014-02-13,03:18:00,Wet/Damp,Fine with high winds,Car,Driver,Slight,Female,43
210,2014-02-13,07:10:00,Dry,Fine without high winds,Motorcycle,Driver,Slight,Female,24
211,2014-02-13,08:22:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Male,17
212,2014-02-13,12:38:00,Dry,Fine without high winds,Car,Pedestrian,Serious,Female,97
213,2014-02-13,17:15:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Female,32
214,2014-02-13,20:00:00,Wet/Damp,Raining with high winds,Bus,Passenger,Slight,Male,64
215,2014-02-13,19:00:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,14
216,2014-02-14,17:50:00,Wet/Damp,Raining with high winds,Car,Pedestrian,Slight,Male,32
217,2014-02-14,13:50:00,Wet/Damp,Raining with high winds,Car,Driver,Slight,Male,34
218,2014-02-14,09:50:00,Dry,Fine without high winds,Motorcycle,Driver,Slight,Female,23
219,2014-02-14,10:18:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Serious,Male,19
220,2014-02-14,15:58:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Female,22
221,2014-02-15,10:04:00,Wet/Damp,Raining with high winds,Car,Driver,Slight,Male,93
222,2014-02-15,10:04:00,Wet/Damp,Raining with high winds,Car,Passenger,Slight,Female,88
223,2014-02-17,19:05:00,Wet/Damp,Raining without high winds,Car,Passenger,Slight,Female,56
224,2014-02-17,17:28:00,Wet/Damp,Raining without high winds,Car,Pedestrian,Slight,Male,17
225,2014-02-17,17:35:00,Dry,Fine without high winds,Bus,Passenger,Slight,Male,3
226,2014-02-18,20:52:00,Dry,Fine without high winds,Motorcycle,Driver,Slight,Male,21
227,2014-02-18,23:18:00,Dry,Fine without high winds,Motorcycle,Driver,Slight,Male,16
228,2014-02-18,17:20:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,42
229,2014-02-18,00:46:00,Dry,Fine without high winds,Car,Driver,Slight,Male,26
230,2014-02-18,13:20:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,33
231,2014-02-18,14:22:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,38
232,2014-02-18,15:45:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,19
233,2014-02-18,15:45:00,Dry,Fine without high winds,Car,Driver,Slight,Male,56
234,2014-02-18,15:45:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,41
235,2014-02-18,19:44:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,25
236,2014-02-18,18:02:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,23
237,2014-02-19,20:40:00,Dry,Fine without high winds,Car,Driver,Slight,Female,23
238,2014-02-19,20:40:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,22
239,2014-02-19,20:40:00,Dry,Fine without high winds,Car,Driver,Slight,Male,25
240,2014-02-19,17:25:00,Wet/Damp,Fine without high winds,Car,Passenger,Slight,Female,28
241,2014-02-19,20:40:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,23
242,2014-02-19,16:39:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,68
243,2014-02-19,14:30:00,Dry,Fine without high winds,Car,Driver,Slight,Male,46
244,2014-02-19,10:28:00,Dry,Fine without high winds,Motorcycle,Driver,Slight,Male,38
245,2014-02-19,06:55:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,23
246,2014-02-19,15:50:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,11
247,2014-02-20,18:27:00,Wet/Damp,Fine without high winds,Car,Passenger,Slight,Female,56
248,2014-02-20,22:20:00,Dry,Fine without high winds,Car,Driver,Slight,Male,36
249,2014-02-20,22:20:00,Dry,Fine without high winds,Car,Driver,Slight,Female,51
250,2014-02-20,18:27:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Female,55
251,2014-02-20,16:55:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,60
252,2014-02-20,16:55:00,Wet/Damp,Fine without high winds,Car,Passenger,Slight,Female,60
253,2014-02-20,16:55:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,63
254,2014-02-20,16:55:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,48
255,2014-02-20,16:45:00,Wet/Damp,Fine without high winds,Car,Driver,Slight,Male,21
256,2014-02-20,15:00:00,Wet/Damp,Fine without high winds,Car,Passenger,Slight,Female,52
257,2014-02-20,13:55:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,21
258,2014-02-20,13:55:00,Dry,Fine without high winds,Car,Driver,Slight,Male,36
259,2014-02-20,10:55:00,Dry,Fine without high winds,Car,Driver,Slight,Male,55
260,2014-02-20,10:53:00,Dry,Fine without high winds,Car,Driver,Slight,Female,84
261,2014-02-21,15:35:00,Dry,Fine without high winds,Car,Driver,Slight,Female,23
262,2014-02-21,15:45:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Male,15
263,2014-02-21,19:50:00,Wet/Damp,Raining with high winds,Car,Driver,Slight,Female,55
264,2014-02-21,09:20:00,Wet/Damp,Other,Pedal cycle,Driver,Slight,Male,40
265,2014-02-21,15:35:00,Dry,Fine without high winds,Car,Driver,Slight,Male,25
266,2014-02-21,12:05:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,31
267,2014-02-21,08:07:00,Dry,Fine without high winds,Motorcycle,Driver,Serious,Male,45
268,2014-02-21,15:30:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,21
269,2014-02-21,12:05:00,Dry,Fine without high winds,Car,Driver,Slight,Male,32
270,2014-02-22,22:30:00,Dry,Fine without high winds,Goods vehicle,Driver,Slight,Male,33
271,2014-02-22,00:29:00,Wet/Damp,Raining without high winds,Car,Pedestrian,Slight,Male,44
272,2014-02-22,12:45:00,Dry,Fine without high winds,Bus,Pedestrian,Serious,Female,86
273,2014-02-22,18:53:00,Dry,Fine without high winds,Car,Driver,Slight,Male,59
274,2014-02-22,18:53:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,47
275,2014-02-23,15:45:00,Wet/Damp,Unknown,Bus,Passenger,Slight,Female,44
276,2014-02-23,15:45:00,Wet/Damp,Unknown,Bus,Passenger,Slight,Female,53
277,2014-02-23,18:40:00,Dry,Fine without high winds,Car,Driver,Serious,Male,19
278,2014-02-23,14:35:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,4
279,2014-02-23,18:40:00,Dry,Fine without high winds,Car,Passenger,Serious,Male,19
280,2014-02-23,13:00:00,Dry,Fine without high winds,Car,Driver,Slight,Male,80
281,2014-02-23,23:03:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Male,25
282,2014-02-24,15:10:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Female,11
283,2014-02-24,10:36:00,Dry,Fine without high winds,Goods vehicle,Pedestrian,Slight,Male,59
284,2014-02-24,00:14:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,35
285,2014-02-24,16:05:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,7
286,2014-02-24,18:35:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,20
287,2014-02-24,16:10:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Male,29
288,2014-02-24,19:50:00,Dry,Fine without high winds,Car,Driver,Slight,Male,27
289,2014-02-24,16:05:00,Dry,Fine without high winds,Pedal cycle,Driver,Serious,Male,13
290,2014-02-24,16:05:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,18
291,2014-02-24,16:05:00,Dry,Fine without high winds,Goods vehicle,Driver,Slight,Male,37
292,2014-02-24,16:05:00,Dry,Fine without high winds,Car,Driver,Slight,Female,47
293,2014-02-24,16:05:00,Dry,Fine without high winds,Car,Driver,Slight,Female,41
294,2014-02-25,08:46:00,Dry,Fine without high winds,Goods vehicle,Driver,Slight,Male,50
295,2014-02-25,18:00:00,Wet/Damp,Raining without high winds,Pedal cycle,Driver,Slight,Male,34
296,2014-02-25,08:09:00,Dry,Fine without high winds,Car,Driver,Slight,Male,75
297,2014-02-25,08:10:00,Dry,Fine without high winds,Car,Pedestrian,Serious,Male,17
